"CODIGO","ANO_LETIVO","PERIODO","INSCRITOS","COM_FREQUENCIA","APROVADOS","DEPARTAMENTO"
"EM533","1996/1997","1S",25,18,18,"DEMEGI"
"EM534","1996/1997","1S",45,37,37,"DEMEGI"
"EM535","1996/1997","1S",30,23,23,"DEMEGI"
"EM536","1996/1997","2S",29,18,17,"DEMEGI"
"EM537","1996/1997","2S",20,13,13,"DEMEGI"
"EM538","1996/1997","1S",24,17,17,"DEMEGI"
"EM539","1996/1997","2S",30,21,21,"DEMEGI"
"EM542","1996/1997","2S",20,14,9,"DEMEGI"
"EM545","1996/1997","A",27,25,25,"DEMEGI"
"EM546","1996/1997","1S",27,24,23,"DEMEGI"
"EM547","1996/1997","2S",35,27,26,"DEMEGI"
"EM548","1996/1997","1S",22,18,18,"DEMEGI"
"EM549","1996/1997","1S",24,20,20,"DEMEGI"
"PRODEI004","2007/2008","1S",,,,""
"EEC312","1996/1997","2S",265,191,160,"DEEC"
"EEC313","1996/1997","2S",139,133,132,"DEEC"
"EC551","1996/1997","1S",29,26,26,"DEC"
"EEC414","1996/1997","1S",47,38,36,"DEEC"
"EEC415","1996/1997","1S",127,90,84,"DEEC"
"MEEC2080","1997/1998","2S",5,3,2,"DEEC"
"MEEC2042","1997/1998","1S",,,,"DEEC"
"MEEC2045","1997/1998","2S",,,,"DEEC"
"MEEC2049","1997/1998","2S",15,15,15,"DEEC"
"MEEC2052","1997/1998","12",,,,"DEEC"
"MEEC2054","1997/1998","2S",10,6,6,"DEEC"
"MEEC2056","1997/1998","12",,,,"DEEC"
"EC134","1996/1997","2S",349,206,137,"DEC"
"EC133","1996/1997","1S",390,225,149,"DEC"
"EC135","1996/1997","2S",339,199,141,"DEC"
"EEC404","1996/1997","1S",94,71,67,"DEEC"
"EEC405","1996/1997","1S",98,67,59,"DEEC"
"EEC406","1996/1997","2S",93,62,62,"DEEC"
"EEC407","1996/1997","2S",115,62,57,"DEEC"
"PRODEI005","2007/2008","1S",,,,""
"PRODEI006","2007/2008","1S",,,,""
"PRODEI007","2007/2008","1S",,,,""
"PRODEI008","2007/2008","1S",,,,""
"EEC503","1996/1997","1S",53,48,48,"DEEC"
"EEC504","1996/1997","1S",48,43,43,"DEEC"
"EEC505","1996/1997","1S",25,25,25,"DEEC"
"EEC506","1996/1997","1S",9,7,7,"DEEC"
"MEEC1018","1997/1998","2S",,,,"DEEC"
"EC624","1996/1997","2S",30,29,27,"DEC"
"MEA100","2003/2004","1T",39,29,23,""
"MEA101","2003/2004","1T",43,34,33,""
"MEA104","2003/2004","1T",38,34,34,""
"MEA106","2003/2004","1T",41,27,21,""
"MEA107","2003/2004","1T",38,37,37,""
"MEA402","2003/2004","2T",,,,""
"MEA203","2003/2004","2T",40,33,33,""
"MEA205","2003/2004","2T",30,27,27,""
"MEA206","2003/2004","2T",33,24,23,""
"MEA207","2003/2004","2T",34,26,21,""
"MEA208","2003/2004","2T",33,26,25,""
"MEA301","2003/2004","3T",9,5,5,""
"MEA302","2003/2004","3T",15,11,9,""
"MEA305","2003/2004","3T",26,16,14,""
"MEA306","2003/2004","3T",31,23,20,""
"MEA308","2003/2004","3T",11,10,10,""
"MEA311","2003/2004","3T",45,12,12,""
"MEA315","2003/2004","3T",8,7,7,""
"MEA316","2003/2004","3T",8,7,7,""
"MGI1103","2004/2005","1S",16,,,""
"MEA318","2003/2004","3T",8,8,8,""
"MEA317","2003/2004","2T",,,,""
"MEA209","2003/2004","4T",23,16,11,""
"MEA321","2003/2004","4T",23,20,18,""
"MEA400","2003/2004","4T",60,3,3,""
"MEA406","2003/2004","4T",8,2,2,""
"MEA407","2003/2004","4T",30,19,17,""
"MEA411","2003/2004","4T",23,16,14,""
"EM304","1996/1997","1S",194,150,122,"DEMEGI"
"EM305","1996/1997","1S",242,116,66,"DEMEGI"
"EM306","1996/1997","2S",178,122,87,"DEMEGI"
"EEC203","1996/1997","1S",267,216,189,"DEEC"
"EEC205","1996/1997","1S",270,212,171,"DEEC"
"EM550","1996/1997","1S",13,10,10,"DEMEGI"
"EEC3264","1999/2000","2S",123,106,81,"DEEC"
"EEC102","1996/1997","1S",344,284,227,"DEEC"
"EEC525","1996/1997","1S",21,19,17,"DEEC"
"EEC522","1996/1997","A",43,40,32,"DEEC"
"EEC441","1996/1997","1S",62,40,38,"DEEC"
"MEEC2007","1997/1998","2S",3,2,2,"DEEC"
"MEEC2006","1997/1998","2S",,,,"DEEC"
"MEEC2050","1997/1998","1S",9,6,6,"DEEC"
"MEEC2051","1997/1998","2S",11,7,7,"DEEC"
"MEEC2048","1997/1998","2S",,,,"DEEC"
"MEEC1006","1997/1998","1S",,,,"DEEC"
"MEEC2074","1997/1998","1S",25,23,22,"DEEC"
"MEEC2015","1997/1998","2S",,,,"DEEC"
"EEC424","1996/1997","2S",166,124,113,"DEEC"
"EEC426","1996/1997","2S",6,5,5,"DEEC"
"EEC427","1996/1997","2S",37,37,37,"DEEC"
"EEC439","1996/1997","2S",48,34,31,"DEEC"
"EEC207","1996/1997","2S",402,220,170,"DEEC"
"EEC208","1996/1997","2S",265,195,162,"DEEC"
"EEC451","1996/1997","2S",52,41,41,"DEEC"
"EEC452","1996/1997","2S",93,66,62,"DEEC"
"EEC453","1996/1997","2S",59,42,42,"DEEC"
"EEC206","1996/1997","1S",204,204,179,"DEEC"
"EEC3221","1997/1998","2S",60,31,27,"DEEC"
"EC126","1998/1999","12",,,,"DEC"
"EC127","1998/1999","12",,,,"DEC"
"EC128","1998/1999","12",,,,"DEC"
"EC129","1998/1999","12",,,,"DEC"
"EC130","1998/1999","12",,,,"DEC"
"EC131","1998/1999","12",,,,"DEC"
"EC136","1998/1999","12",,,,"DEC"
"EC137","1998/1999","12",,,,"DEC"
"EC138","1998/1999","12",,,,"DEC"
"EC139","1998/1999","12",,,,"DEC"
"EC200","1998/1999","12",,,,"DEC"
"EC201","1998/1999","12",,,,"DEC"
"EC202","1998/1999","12",,,,"DEC"
"EC210","1998/1999","12",,,,"DEC"
"EC211","1998/1999","12",,,,"DEC"
"EC212","1998/1999","12",,,,"DEC"
"EC213","1998/1999","12",,,,"DEC"
"EC214","1998/1999","12",,,,"DEC"
"EC215","1998/1999","12",,,,"DEC"
"EC216","1998/1999","12",,,,"DEC"
"EC217","1998/1999","12",,,,"DEC"
"EC218","1998/1999","12",,,,"DEC"
"EC219","1998/1999","12",,,,"DEC"
"EC220","1998/1999","12",,,,"DEC"
"PRODEI013","2007/2008","1S",,,,""
"EC565","1996/1997","1S",15,15,13,"DEC"
"EC419","1996/1997","1S",10,9,9,"DEC"
"EC403","1996/1997","1S",156,140,135,"DEC"
"EC622","1996/1997","1S",21,20,19,"DEC"
"EM206","1996/1997","2S",270,183,118,"DEMEGI"
"EM207","1996/1997","1S",256,136,73,"DEMEGI"
"EM208","1996/1997","2S",433,274,135,"DEMEGI"
"EM300","1996/1997","A",213,145,72,"DEMEGI"
"EC221","1996/1997","1S",226,189,157,"DEC"
"EEC513","1996/1997","1S",32,30,30,"DEEC"
"EM515","1996/1997","A",8,6,6,"DEMEGI"
"EM516","1996/1997","1S",9,9,9,"DEMEGI"
"EM517","1996/1997","2S",11,8,8,"DEMEGI"
"EM518","1996/1997","1S",15,9,8,"DEMEGI"
"EM520","1996/1997","2S",7,7,7,"DEMEGI"
"EM521","1996/1997","2S",1,,,"DEMEGI"
"EM522","1996/1997","2S",11,4,4,"DEMEGI"
"EM523","1996/1997","2S",13,9,9,"DEMEGI"
"MGI1106","1997/1998","2S",10,9,9,"DEEC"
"EEC3122","1997/1998","1S",65,59,23,"DEEC"
"EEC416","1996/1997","1S",58,47,38,"DEEC"
"EIC2104","1997/1998","1S",71,49,41,"DEEC"
"EEC428","1996/1997","1S",52,40,37,"DEEC"
"EEC100","1996/1997","1S",357,266,160,"DEEC"
"EEC101","1996/1997","1S",197,176,139,"DEEC"
"EEC104","1996/1997","1S",280,215,161,"DEEC"
"EEC105","1996/1997","1S",232,197,170,"DEEC"
"EM524","1996/1997","1S",12,8,8,"DEMEGI"
"EM525","1996/1997","2S",14,2,2,"DEMEGI"
"EM530","1996/1997","A",30,19,18,"DEMEGI"
"EC329","1996/1997","2S",428,256,181,"DEC"
"EM400","1996/1997","A",162,95,95,"DEMEGI"
"EM403","1996/1997","1S",194,138,119,"DEMEGI"
"EM503","1997/1998","1S",28,25,25,"DEMEGI"
"EM509","1997/1998","1S",24,21,18,"DEMEGI"
"EM404","1996/1997","1S",130,99,78,"DEMEGI"
"PRODEI011","2007/2008","1S",,,,""
"EM104","1996/1997","1S",169,147,124,"DEMEGI"
"EM105","1996/1997","1S",195,159,116,"DEMEGI"
"EM106","1996/1997","2S",290,153,110,"DEMEGI"
"EM107","1996/1997","2S",140,126,102,"DEMEGI"
"EC102","1996/1997","1S",314,241,169,"DEC"
"EEC403","1996/1997","1S",90,78,77,"DEEC"
"EEC432","1996/1997","1S",11,7,7,"DEEC"
"EEC470","1996/1997","1S",6,5,4,"DEEC"
"EEC454","1996/1997","1S",24,19,19,"DEEC"
"EM408","1996/1997","2S",179,129,95,"DEMEGI"
"EC324","1996/1997","1S",225,189,167,"DEC"
"EM126","1998/1999","1S",252,213,123,"DEMEGI"
"EM319","1997/1998","1S",229,129,91,"DEMEGI"
"EM401","1997/1998","1S",108,100,95,"DEMEGI"
"EM535","1997/1998","1S",12,9,9,"DEMEGI"
"EEC111","1996/1997","2S",408,231,107,"DEEC"
"PRODEI015","2007/2008","2S",,,,""
"EC103","1996/1997","1S",297,296,132,"DEC"
"EC626","1996/1997","2S",23,22,22,"DEC"
"MEMT102","2003/2004","1S",4,4,4,""
"MEMT105","2003/2004","1S",3,2,2,""
"MEMT106","2003/2004","1S",4,4,4,""
"EM108","1996/1997","2S",205,162,138,"DEMEGI"
"EM201","1996/1997","A",340,233,132,"DEMEGI"
"EM203","1996/1997","1S",439,211,133,"DEMEGI"
"EM202","1996/1997","1S",,,,"DEMEGI"
"EM205","1996/1997","2S",298,170,126,"DEMEGI"
"EEC200","1996/1997","1S",309,199,150,"DEEC"
"EEC201","1996/1997","1S",342,205,146,"DEEC"
"EEC202","1996/1997","1S",349,177,98,"DEEC"
"EEC443","1996/1997","1S",52,41,41,"DEEC"
"EEC445","1996/1997","1S",76,62,59,"DEEC"
"EC436","1996/1997","1S",298,226,190,"DEC"
"EC407","1996/1997","2S",175,147,144,"DEC"
"EEC305","1996/1997","1S",220,161,137,"DEEC"
"EEC306","1996/1997","1S",140,134,132,"DEEC"
"MEMT107","2003/2004","1S",4,4,4,""
"MEMT110","2003/2004","2S",2,,,""
"MEMT120","2003/2004","2S",1,,,""
"MEMT131","2003/2004","2S",1,,,""
"MEMT2000","2003/2004","2S",5,,,""
"MRSC1103","2005/2006","1S",,,,""
"EEC446","1996/1997","1S",56,49,47,"DEEC"
"EEC450","1996/1997","2S",54,44,41,"DEEC"
"EM409","1996/1997","2S",212,167,146,"DEMEGI"
"EM410","1996/1997","2S",108,98,97,"DEMEGI"
"EM500","1996/1997","A",31,16,15,"DEMEGI"
"EM505","1996/1997","1S",31,27,27,"DEMEGI"
"EM506","1996/1997","2S",35,26,24,"DEMEGI"
"EEC307","1996/1997","2S",246,201,112,"DEEC"
"EEC308","1996/1997","2S",314,218,205,"DEEC"
"EEC310","1996/1997","2S",238,168,137,"DEEC"
"EEC533","1996/1997","1S",8,8,8,"DEEC"
"EEC529","1996/1997","1S",35,31,31,"DEEC"
"MRSC1105","2005/2006","1S",,,,""
"MRSC1201","2005/2006","1S",,,,""
"MRSC1204","2005/2006","1S",,,,""
"EC5193","2003/2004","1S",37,36,36,"DEC"
"EC106","1996/1997","2S",274,274,133,"DEC"
"EC107","1996/1997","2S",280,203,196,"DEC"
"EC609","1996/1997","2S",10,9,9,"DEC"
"EC611","1996/1997","2S",10,10,10,"DEC"
"EM508","1996/1997","1S",33,27,27,"DEMEGI"
"EC209","1996/1997","2S",181,150,147,"DEC"
"EC330","1996/1997","2S",376,333,208,"DEC"
"EC439","1996/1997","2S",265,168,134,"DEC"
"EEC527","1996/1997","2S",47,41,41,"DEEC"
"EEC526","1996/1997","2S",10,9,9,"DEEC"
"EEC502","1996/1997","1S",77,58,56,"DEEC"
"MEEC2011","1997/1998","2S",4,1,,"DEEC"
"MEEC2013","1997/1998","2S",,,,"DEEC"
"MEEC2039","1997/1998","2S",,,,"DEEC"
"MRSC1104","2005/2006","2S",,,,""
"MRSC1200","2005/2006","2S",,,,""
"EC600","1996/1997","1S",38,30,30,"DEC"
"EC601","1996/1997","2S",39,29,29,"DEC"
"EEC436","1996/1997","2S",70,44,41,"DEEC"
"EEC437","1996/1997","2S",49,33,29,"DEEC"
"EEC438","1996/1997","2S",66,43,39,"DEEC"
"EC306","1996/1997","2S",157,128,120,"DEC"
"EC325","1996/1997","1S",426,300,257,"DEC"
"EEC2203","1999/2000","2S",303,191,155,"DF"
"EEC209","1996/1997","2S",256,182,170,"DEEC"
"EEC211","1996/1997","2S",266,221,198,"DEEC"
"MEEC1010","1997/1998","2S",10,9,9,"DEEC"
"MEEC1012","1997/1998","1S",10,8,6,"DEEC"
"MEEC1069","1997/1998","1S",,,,"DEEC"
"MEEC1070","1997/1998","1S",9,5,3,"DEEC"
"MEEC2001","1997/1998","2S",,,,"DEEC"
"MEEC1020","1997/1998","2S",5,4,4,"DEEC"
"MEEC1022","1997/1998","1S",18,14,13,"DEEC"
"MEEC2012","1997/1998","2S",12,9,7,"DEEC"
"MEEC1026","1997/1998","1S",3,3,3,"DEEC"
"MEEC1024","1997/1998","1S",12,10,10,"DEEC"
"MRSC1202","2005/2006","2S",,,,""
"MRSC1203","2005/2006","2S",,,,""
"MIASI100","2005/2006","1S",,,,""
"EM308","1996/1997","2S",231,151,114,"DEMEGI"
"EM309","1996/1997","1S",177,124,107,"DEMEGI"
"EC207","1996/1997","2S",228,171,140,"DEC"
"EC208","1996/1997","2S",249,179,117,"DEC"
"EEC106","1996/1997","2S",424,256,132,"DEEC"
"EEC212","1996/1997","2S",288,209,167,"DEEC"
"EEC515","1996/1997","1S",11,10,8,"DEEC"
"EEC517","1996/1997","1S",29,28,26,"DEEC"
"EEC519","1996/1997","2S",12,10,10,"DEEC"
"MEEC2004","1997/1998","2S",14,11,11,"DEEC"
"MEEC2005","1997/1998","2S",,,,"DEEC"
"MEEC2008","1997/1998","2S",9,8,8,"DEEC"
"MEEC1041","1997/1998","1S",,,,"DEEC"
"MEEC1042","1997/1998","1S",,,,"DEEC"
"MEEC1067","1997/1998","1S",,,,"DEEC"
"MEEC2010","1997/1998","2S",,,,"DEEC"
"EM125","1998/1999","1S",246,161,101,"DEMEGI"
"EM201","1997/1998","A",300,177,67,"DEMEGI"
"EM203","1997/1998","1S",377,183,114,"DEMEGI"
"EM303","1998/1999","1S",193,127,91,"DEMEGI"
"EM304","1998/1999","1S",160,126,97,"DEMEGI"
"EM402","1997/1998","2S",166,120,93,"DEMEGI"
"EEC421","1996/1997","2S",51,42,41,"DEEC"
"MIASI101","2005/2006","1S",,,,""
"MIASI102","2005/2006","1S",,,,""
"MIASI104","2005/2006","1S",,,,""
"EEC107","1996/1997","2S",329,205,156,"DEEC"
"EEC108","1996/1997","2S",379,230,169,"DEEC"
"EEC109","1996/1997","2S",522,222,141,"DEEC"
"EEC110","1996/1997","2S",237,186,160,"DEEC"
"EEC443","1997/1998","1S",78,58,51,"DEEC"
"EIC1104","1997/1998","1S",63,55,47,""
"EIC2105","1997/1998","1S",61,56,53,""
"EM104","1997/1998","1S",140,121,93,"DEMEGI"
"EEC409","1996/1997","2S",96,75,75,"DEEC"
"EEC520","1996/1997","2S",32,30,30,"DEEC"
"EM551","1996/1997","2S",26,23,23,"DEMEGI"
"EM552","1996/1997","2S",25,22,22,"DEMEGI"
"EM553","1996/1997","2S",38,33,33,"DEMEGI"
"EM554","1996/1997","2S",16,13,13,"DEMEGI"
"EM555","1996/1997","2S",20,17,17,"DEMEGI"
"EM556","1996/1997","2S",17,16,14,"DEMEGI"
"EM557","1996/1997","2S",29,26,26,"DEMEGI"
"EM562","1996/1997","1S",28,23,22,"DEMEGI"
"EM563","1996/1997","1S",34,28,26,"DEMEGI"
"EM565","1996/1997","1S",71,58,57,"DEMEGI"
"EEC418","1996/1997","1S",47,42,42,"DEEC"
"EEC508","1996/1997","2S",11,6,6,"DEEC"
"EEC509","1996/1997","2S",4,2,2,"DEEC"
"EEC510","1996/1997","2S",42,38,38,"DEEC"
"MIASI105","2005/2006","1S",,,,""
"MIASI106","2005/2006","1S",,,,""
"EEC410","1996/1997","2S",40,37,36,"DEEC"
"EEC411","1996/1997","2S",40,35,35,"DEEC"
"EEC412","1996/1997","2S",24,19,19,"DEEC"
"EEC413","1996/1997","2S",80,78,78,"DEEC"
"EM566","1996/1997","2S",15,10,10,"DEMEGI"
"EM567","1996/1997","1S",25,21,21,"DEMEGI"
"EC437","1996/1997","1S",221,149,104,"DEC"
"EC327","1996/1997","1S",300,235,203,"DEC"
"EEC511","1996/1997","2S",39,35,34,"DEEC"
"MEEC2036","1997/1998","1S",5,4,4,"DEEC"
"MEEC2037","1997/1998","2S",8,7,5,"DEEC"
"MEEC1035","1997/1998","1S",7,7,6,"DEEC"
"MEEC1039","1997/1998","1S",,,,"DEEC"
"MEEC1034","1997/1998","1S",,,,"DEEC"
"MEEC1032","1997/1998","1S",5,4,4,"DEEC"
"MEEC1031","1997/1998","1S",,,,"DEEC"
"MEEC2081","1997/1998","2S",,,,"DEEC"
"MEEC2079","1997/1998","2S",,,,"DEEC"
"MEEC1001","1997/1998","2S",,,,"DEEC"
"EC604","1996/1997","1S",16,15,15,"DEC"
"EEC430","1996/1997","1S",41,35,34,"DEEC"
"EEC431","1996/1997","1S",54,45,42,"DEEC"
"EEC420","1996/1997","1S",46,39,36,"DEEC"
"EEC442","1997/1998","1S",85,62,54,"DEEC"
"EEC422","1996/1997","2S",51,41,35,"DEEC"
"EEC401","1996/1997","1S",109,62,55,"DEEC"
"EEC400","1996/1997","1S",79,60,55,"DEEC"
"GEI512","2002/2003","2S",1,1,1,""
"MCE120","2002/2003","2S",17,14,13,""
"MCE5000","2002/2003","A",7,,,""
"MDI1103","2002/2003","1S",1,,,""
"EM302","1996/1997","1S",278,140,70,"DEMEGI"
"EEC2202","1999/2000","2S",394,244,165,"DEEC"
"EEC4122","1999/2000","1S",68,45,42,"DEEC"
"EEC5020","1999/2000","A",51,37,37,"DEEC"
"EEC5040","1999/2000","A",60,52,52,"DEEC"
"EEC5060","1999/2000","A",76,58,58,"DEEC"
"EMI5205","2002/2003","2S",1,1,1,""
"EPPAU1112","2002/2003","1S",3,2,2,""
"EPPAU1113","2002/2003","1S",3,2,2,""
"EPPAU1114","2002/2003","1S",3,2,2,""
"EPPAU1115","2002/2003","1S",3,2,2,""
"EPPAU1116","2002/2003","1S",3,3,3,""
"EPPAU2215","2002/2003","2S",2,2,2,""
"EPPAU2216","2002/2003","2S",2,2,2,""
"EPPAU2217","2002/2003","2S",2,2,2,""
"EPPAU2218","2002/2003","2S",2,2,2,""
"EPPAU2219","2002/2003","2S",2,2,2,""
"EQ415","2002/2003","1S",,,,""
"EQ422","2002/2003","2S",,,,""
"GEI414","2002/2003","2S",,,,""
"GEI507","2002/2003","2S",,,,""
"GEI508","2002/2003","2S",,,,""
"MCE121","2002/2003","1S",16,13,12,""
"MDI1100","2002/2003","2S",1,,,""
"MDI1204","2002/2003","2S",1,,,""
"MEEC2075","1997/1998","1S",,,,"DEEC"
"EEC419","1996/1997","1S",8,7,7,"DEEC"
"EC424","1996/1997","1S",9,6,6,"DEC"
"EC417","1996/1997","1S",25,19,17,"DEC"
"EEC408","1996/1997","2S",151,111,101,"DEEC"
"EEC536","1996/1997","1S",58,51,46,"DEEC"
"EEC537","1996/1997","1S",61,57,50,"DEEC"
"EEC538","1996/1997","1S",32,30,27,"DEEC"
"EEC539","1996/1997","1S",48,44,40,"DEEC"
"EEC542","1996/1997","2S",21,14,14,"DEEC"
"EM103","1996/1997","2S",184,116,85,"DEMEGI"
"EM303","1996/1997","2S",234,146,108,"DEMEGI"
"EC203","1996/1997","1S",427,257,171,"DEC"
"EEC203","1997/1998","1S",12,8,8,"DEEC"
"EIC3204","1998/1999","2S",61,58,48,""
"GEI511","2002/2003","2S",,,,""
"EEC524","1996/1997","1S",59,50,48,"DEEC"
"EEC514","1996/1997","1S",38,35,34,"DEEC"
"GEI115","1998/1999","1S",37,31,28,"DEMEGI"
"EQ310","1996/1997","2S",52,51,51,"DEQ"
"EQ306","1996/1997","2S",147,93,51,"DEQ"
"EQ307","1996/1997","2S",110,91,61,"DEQ"
"EEC308","1997/1998","2S",56,36,27,"DEEC"
"EQ400","1996/1997","1S",154,102,80,"DEQ"
"EEC433","1996/1997","1S",25,22,22,"DEEC"
"EM569","1996/1997","2S",47,41,41,"DEMEGI"
"EM100","1995/1996","A",,,,"DEMEGI"
"EQ513","1996/1997","2S",24,22,22,"DEQ"
"EQ515","1996/1997","2S",14,14,14,"DEQ"
"EQ517","1996/1997","2S",1,1,1,"DEQ"
"EM307","1996/1997","2S",161,100,86,"DEMEGI"
"EM401","1996/1997","1S",127,110,110,"DEMEGI"
"EEC434","1997/1998","2S",,,,"DEEC"
"EEC111","1997/1998","2S",24,11,8,"DEEC"
"EEC301","1997/1998","1S",78,54,46,"DEEC"
"MCE111","1997/1998","2S",,,,"DEC"
"MCE104","1997/1998","1S",,,,"DEC"
"EMM313","1997/1998","2S",,,,"DEMM"
"EC438","1997/1998","1S",,,,"DEC"
"EC626","1997/1998","2S",,,,"DEC"
"EC599","1997/1998","2S",,,,"DEC"
"EIC3100","1997/1998","1S",43,41,41,""
"EC203","1997/1998","1S",,,,"DEC"
"EC525","1997/1998","2S",,,,"DEC"
"EC207","1997/1998","2S",,,,"DEC"
"EC109","1997/1998","2S",,,,"DEC"
"EIC2204","1997/1998","2S",68,45,43,""
"EM422","1997/1998","A",,,,"DEMEGI"
"EM415","1997/1998","A",,,,"DEMEGI"
"EM545","1997/1998","A",28,23,23,"DEMEGI"
"EM540","1997/1998","A",,,,"DEMEGI"
"EM517","1997/1998","2S",9,7,7,"DEMEGI"
"EM429","1997/1998","A",,,,"DEMEGI"
"EM513","1997/1998","A",,,,"DEMEGI"
"EMI106","1997/1998","2S",20,10,8,"DEM"
"EMI206","1997/1998","2S",33,25,20,"DEM"
"EMI309","1997/1998","2S",16,11,8,"DEM"
"EMI214","1997/1998","2S",30,23,21,"DEM"
"EMI521","1997/1998","1S",33,18,10,"DEM"
"EC531","1996/1997","2S",44,30,30,"DEC"
"EQ413","1996/1997","1S",21,21,21,"DEQ"
"EQ412","1996/1997","1S",12,12,10,"DEQ"
"EQ401","1996/1997","1S",119,88,78,"DEQ"
"EQ410","1996/1997","1S",13,12,12,"DEQ"
"EQ408","1997/1998","2S",73,73,66,"DEQ"
"MEEC2053","1997/1998","12",12,9,8,"DEEC"
"MEEC2084","1997/1998","2S",,,,"DEEC"
"EQ409","1996/1997","2S",111,92,82,"DEQ"
"EQ503","1996/1997","1S",105,93,90,"DEQ"
"EQ505","1997/1998","1S",19,18,18,"DEQ"
"EQ507","1997/1998","1S",22,20,20,"DEQ"
"EQ504","1996/1997","1S",21,20,20,"DEQ"
"GEI103","1996/1997","A",40,35,30,"DEMEGI"
"GEI103","1997/1998","A",40,35,31,"DEMEGI"
"GEI101","1996/1997","1S",,,,"DEMEGI"
"EC562","1996/1997","2S",16,14,14,"DEC"
"EEC2103","1998/1999","1S",380,260,194,"DF"
"EEC2105","1997/1998","1S",260,158,128,"DEEC"
"EEC2201","1997/1998","2S",,,,"DEEC"
"EIC1106","1996/1997","1S",59,55,54,""
"EIC2102","1996/1997","1S",57,47,36,"DEEC"
"EIC2105","1996/1997","1S",50,46,45,""
"EMI207","1996/1997","1S",36,21,13,"DEM"
"EMI204","1996/1997","1S",40,16,7,"DEM"
"EMI201","1996/1997","2S",19,16,9,"DEM"
"EQ505","1996/1997","1S",21,21,21,"DEQ"
"MIASI107","2005/2006","1S",,,,""
"MIASI200","2005/2006","2S",,,,""
"MIASI201","2005/2006","2S",,,,""
"MIASI202","2005/2006","2S",,,,""
"MIASI204","2005/2006","2S",,,,""
"MIASI206","2005/2006","2S",,,,""
"EM335","1999/2000","1S",103,57,50,"DEMEGI"
"EEC516","1996/1997","1S",30,28,25,"DEEC"
"EEC3261","1997/1998","2S",97,70,66,"DEEC"
"MEEC2008","1999/2000","2S",18,13,13,"DEEC"
"EEC2203","1997/1998","2S",263,177,100,"DF"
"CPGCE100","2002/2003","2S",7,7,6,""
"CPGCE101","2002/2003","1S",5,4,4,""
"CPGCE103","2002/2003","2S",5,4,4,""
"CPGCE104","2002/2003","1S",5,4,4,""
"CPGCE106","2002/2003","2S",5,4,4,""
"CPGCE108","2002/2003","2S",4,4,4,""
"CPGCE109","2002/2003","1S",5,4,4,""
"CPGCE110","2002/2003","2S",5,3,3,""
"CPGCE112","2002/2003","1S",5,4,4,""
"CPGCE114","2002/2003","2S",,,,""
"CPGCE119","2002/2003","1S",,,,""
"CPGCE120","2002/2003","2S",6,4,3,""
"CPGCE121","2002/2003","1S",5,5,4,""
"EC5150","2002/2003","1S",1,,,""
"EC5284","2002/2003","2S",3,,,""
"EEAM1100","2002/2003","1T",4,4,3,""
"EEAM1102","2002/2003","1T",4,4,3,""
"EEAM1200","2002/2003","2T",4,4,4,""
"EEAM1202","2002/2003","2T",4,4,4,""
"EEAM1304","2002/2003","3T",3,,,""
"GEI113","1998/1999","2S",51,37,27,"DEMEGI"
"MGI1201","1997/1998","2S",20,19,18,"DEEC"
"MGI1101","1997/1998","1S",20,19,19,""
"EMI209","1996/1997","2S",34,13,4,"DEM"
"MGI1202","1997/1998","2S",20,19,19,"BIB"
"MGI1203","1997/1998","2S",20,19,18,"DEEC"
"MGI1204","1997/1998","2S",20,19,19,"DEEC"
"MIASI207","2005/2006","2S",,,,""
"MIASI208","2005/2006","2S",,,,""
"EQ107","1996/1997","2S",92,75,51,"DEQ"
"EQ202","1996/1997","1S",85,65,55,"DEQ"
"EQ408","1996/1997","2S",74,68,66,"DEQ"
"EEC3224","1999/2000","2S",54,38,32,"DEEC"
"EQ303","1996/1997","1S",140,92,77,"DEQ"
"EQ304","1996/1997","1S",52,50,50,"DEQ"
"EM531","1996/1997","1S",22,15,15,"DEMEGI"
"EM568","1996/1997","2S",30,24,24,"DEMEGI"
"EIC2202","1996/1997","2S",52,31,28,"DEEC"
"EM503","1996/1997","1S",30,25,24,"DEMEGI"
"EIC3204","1996/1997","2S",33,32,31,""
"EEC3263","1999/2000","1S",121,98,71,"DEEC"
"EQ508","1996/1997","1S",,,,"DEQ"
"EQ527","1996/1997","1S",11,11,11,"DEQ"
"EQ300","1996/1997","1S",95,64,46,"DEQ"
"EQ324","1996/1997","1S",74,52,41,"DEQ"
"EM411","1996/1997","2S",174,122,118,"DEMEGI"
"EM501","1996/1997","1S",34,27,24,"DEMEGI"
"EM502","1996/1997","2S",38,32,26,"DEMEGI"
"EC596","1996/1997","1S",59,55,53,"DEC"
"EEC512","1996/1997","A",34,30,30,"DEEC"
"EEC500","1996/1997","A",64,52,51,"DEEC"
"EEC535","1996/1997","A",62,56,54,"DEEC"
"EMI206","1996/1997","2S",16,8,8,"DEM"
"EMI208","1996/1997","2S",20,13,13,"DEM"
"MGI1102","1997/1998","1S",20,19,19,"BIB"
"MAPI004","2007/2008","1S",,,,""
"MAPI005","2007/2008","1S",,,,""
"MAPI008","2007/2008","1S",,,,""
"MAPI011","2007/2008","2S",,,,""
"MAPI013","2007/2008","2S",,,,""
"MGI1103","1997/1998","1S",20,18,18,""
"MGI1104","1997/1998","1S",20,19,19,"DEEC"
